timestamp,open,high,low,close,volume
2025-02-11 19:55:00,254.9900,254.9900,254.7100,254.7100,190
2025-02-11 19:50:00,254.9900,254.9900,254.9900,254.9900,1
2025-02-11 19:45:00,254.9800,254.9800,254.9800,254.9800,1
2025-02-11 19:35:00,254.8000,254.8200,254.8000,254.8200,40
2025-02-11 19:30:00,254.9800,254.9900,254.9800,254.9900,102
2025-02-11 19:25:00,254.7000,254.9888,254.4800,254.9600,83
2025-02-11 19:20:00,254.7500,254.9800,254.4800,254.9800,173
2025-02-11 19:15:00,254.9900,254.9900,254.9850,254.9850,33
2025-02-11 19:10:00,254.9882,254.9899,254.9882,254.9899,87
2025-02-11 19:05:00,254.9900,254.9900,254.9777,254.9777,10
2025-02-11 19:00:00,254.7000,254.7000,254.7000,254.7000,403417
2025-02-11 18:55:00,254.4900,254.7000,254.4800,254.7000,12
2025-02-11 18:45:00,254.4801,254.4801,254.4801,254.4801,7
2025-02-11 18:40:00,254.9773,254.9773,254.7000,254.7000,6
2025-02-11 18:35:00,254.7000,254.7000,254.5000,254.5000,193
2025-02-11 18:30:00,254.7000,254.9500,254.7000,254.9500,403472
2025-02-11 18:20:00,254.9773,254.9900,254.7000,254.9900,113
2025-02-11 18:15:00,254.9900,254.9900,254.4800,254.9800,27
2025-02-11 18:05:00,254.9773,254.9800,254.5000,254.9800,50
2025-02-11 18:00:00,254.7000,254.9800,254.7000,254.9800,512
2025-02-11 17:55:00,254.4500,254.6900,254.4500,254.6900,30
2025-02-11 17:50:00,254.3000,254.4000,254.3000,254.4000,11
2025-02-11 17:45:00,253.6000,253.6000,253.6000,253.6000,9
2025-02-11 17:40:00,254.5800,254.5800,254.5800,254.5800,4
2025-02-11 17:35:00,254.6900,254.6900,254.6900,254.6900,3
2025-02-11 17:30:00,254.3600,254.3600,254.2500,254.2500,22
2025-02-11 17:25:00,254.4200,254.4400,254.1600,254.2500,62
2025-02-11 17:20:00,254.5800,254.6000,254.1600,254.6000,18
2025-02-11 17:15:00,254.5800,254.5800,254.5000,254.5000,2
2025-02-11 17:10:00,254.6000,254.6000,254.1800,254.5800,64
2025-02-11 17:05:00,254.1500,254.6300,254.1500,254.6300,50
2025-02-11 17:00:00,254.2962,254.2962,254.2962,254.2962,1
2025-02-11 16:55:00,254.3000,254.3000,254.1500,254.1500,508
2025-02-11 16:45:00,254.0100,254.0100,254.0001,254.0001,274
2025-02-11 16:40:00,254.3000,254.3000,254.0000,254.0000,310
2025-02-11 16:35:00,254.4200,254.5000,254.2100,254.2900,1648
2025-02-11 16:30:00,254.3000,254.5000,254.3000,254.5000,886
2025-02-11 16:25:00,254.3400,255.5900,254.3000,254.3100,1427
2025-02-11 16:20:00,254.7000,255.0000,254.3000,255.0000,311
2025-02-11 16:15:00,254.7000,255.7700,254.7000,254.7000,520
2025-02-11 16:10:00,254.7000,255.8999,254.5925,255.3000,403533
2025-02-11 16:05:00,254.7000,255.6000,254.7000,255.6000,1229
2025-02-11 16:00:00,254.8000,255.0000,254.3000,254.3000,1120258
2025-02-11 15:55:00,255.0200,255.1000,254.4900,254.7900,275114
2025-02-11 15:50:00,255.2500,255.4292,254.8900,254.9200,135032
2025-02-11 15:45:00,254.8500,255.2000,254.7817,255.1450,71861
2025-02-11 15:40:00,254.9150,254.9150,254.5900,254.8500,60619
2025-02-11 15:35:00,255.0300,255.0950,254.8100,254.9150,89575
2025-02-11 15:30:00,254.5900,255.0591,254.5600,255.0050,46022
2025-02-11 15:25:00,254.0500,254.6999,254.0500,254.5600,39142
2025-02-11 15:20:00,253.7525,254.1300,253.7525,253.9800,42564
2025-02-11 15:15:00,254.0700,254.1940,253.6601,253.6782,28986
2025-02-11 15:10:00,254.3100,254.5700,254.0500,254.1190,24558
2025-02-11 15:05:00,254.5150,254.5150,253.9800,254.2746,24112
2025-02-11 15:00:00,254.6200,254.7150,254.2400,254.5000,59257
2025-02-11 14:55:00,254.5400,254.8500,254.5001,254.5750,26102
2025-02-11 14:50:00,254.7500,254.9300,254.5301,254.6000,22733
2025-02-11 14:45:00,255.2250,255.3181,254.6700,254.7600,26107
2025-02-11 14:40:00,254.8700,255.3200,254.7500,255.2250,29653
2025-02-11 14:35:00,254.3900,254.8600,254.3900,254.7550,36361
2025-02-11 14:30:00,254.1500,254.6307,254.1500,254.3900,20461
2025-02-11 14:25:00,254.1800,254.2800,254.0300,254.1500,16602
2025-02-11 14:20:00,253.9500,254.4100,253.8100,254.1800,28027
2025-02-11 14:15:00,253.9600,254.1800,253.8200,253.9600,28219
2025-02-11 14:10:00,254.0800,254.3050,253.8400,253.9913,23747
2025-02-11 14:05:00,254.1500,254.3000,254.0000,254.0800,30663
2025-02-11 14:00:00,254.6650,254.8000,254.1400,254.2400,42418
2025-02-11 13:55:00,254.6500,254.7800,254.3568,254.5300,13518
2025-02-11 13:50:00,255.1700,255.1700,254.6200,254.6400,25376
2025-02-11 13:45:00,255.1100,255.3000,254.9200,255.1700,40851
2025-02-11 13:40:00,255.2100,255.2400,255.0000,255.1420,13387
2025-02-11 13:35:00,255.2650,255.5900,255.1101,255.1300,40993
2025-02-11 13:30:00,254.8950,255.3899,254.8950,255.3000,17113
2025-02-11 13:25:00,254.9640,255.1300,254.8000,254.8950,26527
2025-02-11 13:20:00,254.9950,255.1400,254.8000,254.9600,23873
2025-02-11 13:15:00,254.9700,255.0900,254.8094,255.0625,15099
2025-02-11 13:10:00,254.8100,255.2000,254.5200,255.0600,30049
2025-02-11 13:05:00,254.2950,254.8099,254.0200,254.8099,46062
2025-02-11 13:00:00,254.4300,254.4750,254.0600,254.3900,27108
2025-02-11 12:55:00,254.6100,254.7700,254.2900,254.5271,28805
2025-02-11 12:50:00,254.8700,254.9100,254.5000,254.7400,25067
2025-02-11 12:45:00,255.1200,255.1200,254.5000,254.7500,31928
2025-02-11 12:40:00,254.8700,255.2500,254.7700,255.1128,39779
2025-02-11 12:35:00,254.8700,254.9700,254.5130,254.8700,31757
2025-02-11 12:30:00,254.6800,254.9100,254.1600,254.8900,27949
2025-02-11 12:25:00,254.7700,254.8800,253.8900,254.6800,73459
2025-02-11 12:20:00,254.4000,254.8400,254.3986,254.7400,23032
2025-02-11 12:15:00,254.0900,254.5800,253.6300,254.3900,95768
2025-02-11 12:10:00,254.2200,254.8400,254.1456,254.2992,29721
2025-02-11 12:05:00,255.4200,255.5000,253.7200,254.5235,87437
2025-02-11 12:00:00,256.3487,256.3487,255.4200,255.5350,100820
2025-02-11 11:55:00,256.5310,256.7500,256.2200,256.2850,43922
2025-02-11 11:50:00,256.3400,256.5600,256.1850,256.5300,111988
2025-02-11 11:45:00,256.1511,256.5000,255.9600,256.4999,37374
2025-02-11 11:40:00,256.2700,256.4999,255.9000,256.0600,47226
2025-02-11 11:35:00,255.9000,256.3500,255.9000,256.2500,36336
2025-02-11 11:30:00,255.3881,256.0000,254.8215,255.9200,33890
2025-02-11 11:25:00,255.9300,256.1300,255.2001,255.2200,67066
2025-02-11 11:20:00,255.6300,256.1300,255.5500,256.0150,106243
2025-02-11 11:15:00,255.7483,255.8600,255.4800,255.6400,81673
